"","Acct #","Licensee","Hybrid Name
(Optional)","Female Inbred
(Required)","Male Inbred
(Required)","Hybrid Trait, Trait Stack 
or Non-Traited Type
(Required)","Female Inbred
(Secondary - 5.5%)","Male Inbred
(Secondary - 5.5%)","Beginning  Inventory
(2013 Carryover)","Last Year Production
(Summer 2013 & Winter 2013-14)","Wholesale In","Final Units Sold or Transferred to Growers
(including test/plot seed)","Wholesale Out","GT units used from inventory for E-Z Refuge Blending component","Discard Units","Ending Inventory 
(2014 Carryover)","Replant Units","CRW Claims","Trait Investment Loss Units","2014 Production for your Retail Brand
(Summer 2014 & 
Winter 2014-15)","Use this column for any clarifications or comments"
"","C12345","XX Seed Corn Company","","GP668GTCBLL","GP669DC","Agrisure Duracade® 5122 E-Z Refuge®","GP668GT","GP669","","","","","","","","0","","","","2000",""
"","C12345","XX Seed Corn Company","","GP4118DC","GP623GTCBLLBL","Agrisure Duracade® 5222 E-Z Refuge®","SGI996GT","SGI07MB97","","","","","","","","0","","","","1400",""
"","C12345","XX Seed Corn Company","","GP3622GTCBLLRWBL","GP374","Agrisure Viptera® 3111","","","89","","","t8","","","","81","","","","",""
"","C12345","XX Seed Corn Company","","GP6467GTCBLLRWBL","Non-GreenLeaf","Agrisure Viptera® 3111","","","45","","","t24","","","","21","","","","",""
"","C12345","XX Seed Corn Company","","MBS8211GT","GP237CBLLRWBL","Agrisure Viptera® 3111","","","48","","","t20","","","","28","","","","",""
"","C12345","XX Seed Corn Company","","MBS2209","Non-GreenLeaf","Agrisure® 3000GT","","","","","","t50","","","","","","","","",""
"","C12345","XX Seed Corn Company","","MBS2209","Non-GreenLeaf","Agrisure Viptera® 3110","","","","","","t24","","","","","","","","",""
"","C12345","XX Seed Corn Company","","GP234GT","NP2529CBLLRW","Agrisure® 3000GT","","","332","","","t12","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP3622GT","GP217CBLLRW","Agrisure® 3000GT","","","69","","","t2","","","","67","","","","",""
"","C12345","XX Seed Corn Company","","GP3622GTCBLLRW","GP5435","Agrisure® 3000GT","","","20","","","t2","","","","18","","","","",""
"","C12345","XX Seed Corn Company","","GP4118GTCBLLRW","GP6823","Agrisure® 3000GT","","","70","","","t70","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP6467GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","8","","","","","","","8","","","","",""
"","C12345","XX Seed Corn Company","","GP7169GTCBLLRW","GP6823","Agrisure® 3000GT","","","198","900","","t57","","","","1092","","","","",""
"","C12345","XX Seed Corn Company","","MBS8211GT","GP237CBLLRW","Agrisure® 3000GT","","","0","","","","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2660GTCBLLRW","NP2727","Agrisure® 3000GT","","","400","","","t264","","","16","13","","","","",""
"","C12345","XX Seed Corn Company","","SGI996GTCBLLRW","Non-GreenLeaf","Agrisure® 3000GT","","","9","","","","","","","9","","","","",""
"","C12345","XX Seed Corn Company","","NP2660CBLL","NP2727","Agrisure® CB/LL","","","0","","","","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2623CBLLRW","MBS2302","Agrisure® CB/LL/RW","","","32","","","","","","","32","","","","",""
"","C12345","XX Seed Corn Company","","GP217GT","GP368","Agrisure® GT","","","43","","","t6","","","","37","","","","",""
"","C12345","XX Seed Corn Company","","GP3622GT","GP374","Agrisure® GT","","","46","","","","","","10","36","","","","",""
"","C12345","XX Seed Corn Company","","GP4118GT","GP6823","Agrisure® GT","","","57","804","","t347","","","","514","","","","850",""
"","C12345","XX Seed Corn Company","","GP623","GP4118GT","Agrisure® GT","","","","368","","t347","","","","21","","","","",""
"","C12345","XX Seed Corn Company","","GP668GT","GP669","Agrisure® GT","","","","","","","","","","0","","","","850",""
"","C12345","XX Seed Corn Company","","GP7169GT","GP6823","Agrisure® GT","","","43","","42","t85","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP7169GT","Non-GreenLeaf","Agrisure® GT","","","365","","","t446","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","NP2660GT","NP2727","Agrisure® GT","","","15","","","t14","","","","1","","","","",""
"","C12345","XX Seed Corn Company","","GP237","MBS8211","Conventional, CL, or LL","","","20","0","0","20","0","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP245","GP246","Conventional, CL, or LL","","","166","","150","307","","","","9","","","","",""
"","C12345","XX Seed Corn Company","","GP3127","GP574","Conventional, CL, or LL","","","0","1216","1455","2382","","","","289","","","","3200",""
"","C12345","XX Seed Corn Company","","GP3127","MBS8383","Conventional, CL, or LL","","","29","","","29","","","","0","","","","",""
"","C12345","XX Seed Corn Company","","GP373","GP374","Conventional, CL, or LL","","","325","","","325","","","","0","","","","",""
